b1,b11,b14,b2,b6,b7,b9,t105,t107,t142,t150,t23,u0,u1,u2,u3
b1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
b11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
b14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
b2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
b6,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
b7,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
b9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
t105,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1
t107,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
t142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
t150,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
t23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
u0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0
u1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
u2,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0
u3,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1
