f2;arity;function;associative;commutative;idempotent;b1;b11;b14;b2;b6;b7;b9;t105;t107;t142;t150;t23;u0;u1;u2;u3
b1;2;f(f(1,1),f(1,2));1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
b11;2;f(f(2,1),f(2,2));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
b14;2;f(f(2,2),f(2,1));0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
b2;2;f(f(1,1),f(2,1));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
b6;2;f(f(1,2),f(2,1));1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0
b7;2;f(f(1,2),f(2,2));1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1
b9;2;f(f(2,1),f(1,2));1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1
t105;3;f(f(f(1,2),f(2,1)),f(f(2,1),f(1,2)));0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;1;1
t107;3;f(f(f(1,2),f(2,1)),f(f(2,1),f(2,2)));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
t142;3;f(f(f(2,1),f(1,1)),f(f(2,2),f(2,1)));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
t150;3;f(f(f(2,1),f(1,2)),f(f(1,2),f(2,1)));0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0
t23;3;f(f(f(1,1),f(1,2)),f(f(1,2),f(2,2)));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
u0;1;f(1,1);0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0
u1;1;f(1,2);0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
u2;1;f(2,1);0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0
u3;1;f(2,2);0;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1
